# Temperature graph approved for MOEK heat networks, 2020/2021.
# Source PDF: Температурный график ТЭЦ_РТС_КТС_МК утв П_П_Бирюковым.pdf
#
# profile values:
# - rts_kts_150_70: РТС/КТС/МК/АИТ table, thermal network pipelines, 150-70.
# - rts_kts_150_70_elevated: same table, elevated 150-70 columns.
# - rts_kts_130_70: same table, thermal network pipelines, 130-70.
# - main_ges1: page 1, ГЭС-1.
# - main_tec_8_9_11_12_rts: page 1, ТЭЦ-8/9/11/12, РТС Кр. Пр., ТЭС Межд.
# - main_tec_22_16_23_20_21_25_26_27: page 1, listed ТЭЦ group.
profile,outdoor_temp,t1_target,t2_max
rts_kts_150_70,8,75,48
rts_kts_150_70,7,75,48
rts_kts_150_70,6,75,48
rts_kts_150_70,5,75,48
rts_kts_150_70,4,75,48
rts_kts_150_70,3,76,48
rts_kts_150_70,2,79,48
rts_kts_150_70,1,82,48
rts_kts_150_70,0,85,48
rts_kts_150_70,-1,87,49
rts_kts_150_70,-2,90,50
rts_kts_150_70,-3,93,51
rts_kts_150_70,-4,95,52
rts_kts_150_70,-5,98,53
rts_kts_150_70,-6,101,54
rts_kts_150_70,-7,103,55
rts_kts_150_70,-8,106,56
rts_kts_150_70,-9,109,57
rts_kts_150_70,-10,111,58
rts_kts_150_70,-11,114,59
rts_kts_150_70,-12,117,60
rts_kts_150_70,-13,119,61
rts_kts_150_70,-14,122,62
rts_kts_150_70,-15,124,63
rts_kts_150_70,-16,127,64
rts_kts_150_70,-17,130,65
rts_kts_150_70,-18,130,64
rts_kts_150_70,-19,130,63
rts_kts_150_70,-20,130,62
rts_kts_150_70,-21,130,61
rts_kts_150_70,-22,130,60
rts_kts_150_70,-23,130,59
rts_kts_150_70,-24,130,58
rts_kts_150_70,-25,130,57
rts_kts_150_70_elevated,8,77,48
rts_kts_150_70_elevated,7,77,48
rts_kts_150_70_elevated,6,77,48
rts_kts_150_70_elevated,5,77,48
rts_kts_150_70_elevated,4,77,48
rts_kts_150_70_elevated,3,79,48
rts_kts_150_70_elevated,2,81,48
rts_kts_150_70_elevated,1,84,48
rts_kts_150_70_elevated,0,87,49
rts_kts_150_70_elevated,-1,89,50
rts_kts_150_70_elevated,-2,92,51
rts_kts_150_70_elevated,-3,94,52
rts_kts_150_70_elevated,-4,97,53
rts_kts_150_70_elevated,-5,100,54
rts_kts_150_70_elevated,-6,102,55
rts_kts_150_70_elevated,-7,105,56
rts_kts_150_70_elevated,-8,107,57
rts_kts_150_70_elevated,-9,110,58
rts_kts_150_70_elevated,-10,112,59
rts_kts_150_70_elevated,-11,115,60
rts_kts_150_70_elevated,-12,118,61
rts_kts_150_70_elevated,-13,120,62
rts_kts_150_70_elevated,-14,123,63
rts_kts_150_70_elevated,-15,125,64
rts_kts_150_70_elevated,-16,128,65
rts_kts_150_70_elevated,-17,130,66
rts_kts_150_70_elevated,-18,130,65
rts_kts_150_70_elevated,-19,130,64
rts_kts_150_70_elevated,-20,130,63
rts_kts_150_70_elevated,-21,130,62
rts_kts_150_70_elevated,-22,130,61
